record_id,batch,template_flag,pubmedbert__text_section_tagged__n_tokens,pubmedbert__text_section_tagged__n_unk,pubmedbert__text_section_tagged__unk_rate,pubmedbert__text_section_tagged__n_segments_at_128,pubmedbert__text_concatenated__n_tokens,pubmedbert__text_concatenated__n_unk,pubmedbert__text_concatenated__unk_rate,pubmedbert__text_concatenated__n_segments_at_128,pathologybert__text_section_tagged__n_tokens,pathologybert__text_section_tagged__n_unk,pathologybert__text_section_tagged__unk_rate,pathologybert__text_section_tagged__n_segments_at_128,pathologybert__text_concatenated__n_tokens,pathologybert__text_concatenated__n_unk,pathologybert__text_concatenated__unk_rate,pathologybert__text_concatenated__n_segments_at_128
BAH-P-0031,1,False,126,0,0.0,1,98,0,0.0,1,119,2,0.01680672268907563,1,90,6,0.06666666666666667,1
BAH-P-0032,1,False,110,0,0.0,1,82,0,0.0,1,105,0,0.0,1,76,4,0.05263157894736842,1
BAH-P-0033,1,False,103,0,0.0,1,75,0,0.0,1,100,2,0.02,1,71,6,0.08450704225352113,1
BAH-P-0034,1,False,97,0,0.0,1,69,0,0.0,1,92,0,0.0,1,63,4,0.06349206349206349,1
BAH-P-0035,1,False,110,0,0.0,1,82,0,0.0,1,101,2,0.019801980198019802,1,72,6,0.08333333333333333,1
BAH-P-0036,1,False,187,0,0.0,2,161,0,0.0,2,181,0,0.0,2,153,4,0.026143790849673203,2
BAH-P-0037,1,False,106,0,0.0,1,78,0,0.0,1,101,0,0.0,1,72,4,0.05555555555555555,1
BAH-P-0038,1,False,151,0,0.0,2,123,0,0.0,1,137,4,0.029197080291970802,2,108,8,0.07407407407407407,1
BAH-P-0039,1,False,103,0,0.0,1,75,0,0.0,1,98,0,0.0,1,69,4,0.057971014492753624,1
BAH-P-0040,1,False,94,0,0.0,1,66,0,0.0,1,87,0,0.0,1,58,4,0.06896551724137931,1
BAH-P-0041,1,False,127,0,0.0,1,99,0,0.0,1,116,0,0.0,1,87,4,0.04597701149425287,1
BAH-P-0042,1,False,86,0,0.0,1,58,0,0.0,1,83,0,0.0,1,54,4,0.07407407407407407,1
BAH-P-0043,1,False,187,0,0.0,2,159,0,0.0,2,173,4,0.023121387283236993,2,144,8,0.05555555555555555,2
BAH-P-0044,1,False,141,0,0.0,2,113,0,0.0,1,133,2,0.015037593984962405,2,104,6,0.057692307692307696,1
BAH-P-0045,1,False,116,0,0.0,1,88,0,0.0,1,109,8,0.07339449541284404,1,80,12,0.15,1
BAH-P-0046,1,False,111,0,0.0,1,87,0,0.0,1,104,0,0.0,1,80,3,0.0375,1
BAH-P-0047,1,False,118,0,0.0,1,90,0,0.0,1,110,0,0.0,1,81,4,0.04938271604938271,1
BAH-P-0048,1,False,124,0,0.0,1,96,0,0.0,1,117,4,0.03418803418803419,1,88,8,0.09090909090909091,1
BAH-P-0049,1,False,173,0,0.0,2,145,0,0.0,2,166,2,0.012048192771084338,2,137,6,0.043795620437956206,2
BAH-P-0050,1,False,96,0,0.0,1,68,0,0.0,1,91,0,0.0,1,62,4,0.06451612903225806,1
BAH-P-0051,1,False,111,0,0.0,1,83,0,0.0,1,105,0,0.0,1,76,4,0.05263157894736842,1
BAH-P-0052,1,False,117,0,0.0,1,89,0,0.0,1,109,0,0.0,1,80,4,0.05,1
BAH-P-0053,1,False,130,0,0.0,2,102,0,0.0,1,121,8,0.06611570247933884,1,92,12,0.13043478260869565,1
BAH-P-0054,1,False,111,0,0.0,1,83,0,0.0,1,107,0,0.0,1,78,4,0.05128205128205128,1
BAH-P-0055,1,False,120,0,0.0,1,92,0,0.0,1,114,2,0.017543859649122806,1,85,6,0.07058823529411765,1
BAH-P-0056,1,False,213,0,0.0,2,185,0,0.0,2,196,4,0.02040816326530612,2,167,8,0.04790419161676647,2
BAH-P-0057,1,False,170,0,0.0,2,142,0,0.0,2,160,2,0.0125,2,131,6,0.04580152671755725,2
BAH-P-0058,1,False,132,0,0.0,2,102,0,0.0,1,116,0,0.0,1,84,4,0.047619047619047616,1
BAH-P-0059,1,False,128,0,0.0,1,100,0,0.0,1,124,2,0.016129032258064516,1,95,6,0.06315789473684211,1
BAH-P-0060,1,False,118,0,0.0,1,90,0,0.0,1,115,0,0.0,1,86,4,0.046511627906976744,1
BAH-P-0061,1,False,123,0,0.0,1,95,0,0.0,1,119,1,0.008403361344537815,1,90,5,0.05555555555555555,1
BAH-P-0062,1,False,102,0,0.0,1,74,0,0.0,1,96,0,0.0,1,67,4,0.05970149253731343,1
BAH-P-0063,1,False,118,0,0.0,1,90,0,0.0,1,111,2,0.018018018018018018,1,82,6,0.07317073170731707,1
BAH-P-0064,1,False,116,0,0.0,1,88,0,0.0,1,107,0,0.0,1,78,4,0.05128205128205128,1
BAH-P-0065,1,True,95,0,0.0,1,67,0,0.0,1,90,0,0.0,1,61,4,0.06557377049180328,1
BAH-P-0066,1,False,142,0,0.0,2,113,0,0.0,1,132,0,0.0,2,103,4,0.038834951456310676,1
BAH-P-0067,1,False,137,0,0.0,2,111,0,0.0,1,135,0,0.0,2,108,3,0.027777777777777776,1
BAH-P-0068,1,True,89,0,0.0,1,61,0,0.0,1,86,0,0.0,1,57,4,0.07017543859649122,1
BAH-P-0069,1,False,97,0,0.0,1,69,0,0.0,1,94,0,0.0,1,65,4,0.06153846153846154,1
BAH-P-0070,1,False,118,0,0.0,1,90,0,0.0,1,112,0,0.0,1,83,4,0.04819277108433735,1
BAH-P-0071,1,False,144,0,0.0,2,118,0,0.0,1,137,0,0.0,2,109,4,0.03669724770642202,1
BAH-P-0072,1,False,99,0,0.0,1,71,0,0.0,1,94,0,0.0,1,65,4,0.06153846153846154,1
BAH-P-0073,1,False,116,0,0.0,1,88,0,0.0,1,111,4,0.036036036036036036,1,82,8,0.0975609756097561,1
BAH-P-0074,1,False,108,0,0.0,1,80,0,0.0,1,103,4,0.038834951456310676,1,74,8,0.10810810810810811,1
BAH-P-0075,1,False,104,0,0.0,1,76,0,0.0,1,97,0,0.0,1,68,4,0.058823529411764705,1
BAH-P-0076,1,True,114,0,0.0,1,86,0,0.0,1,103,0,0.0,1,74,4,0.05405405405405406,1
BAH-P-0077,1,False,105,0,0.0,1,79,0,0.0,1,101,0,0.0,1,73,4,0.0547945205479452,1
BAH-P-0078,1,False,91,0,0.0,1,63,0,0.0,1,88,0,0.0,1,59,4,0.06779661016949153,1
BAH-P-0079,1,False,114,0,0.0,1,86,0,0.0,1,113,2,0.017699115044247787,1,84,6,0.07142857142857142,1
BAH-P-0080,1,False,103,0,0.0,1,75,0,0.0,1,98,0,0.0,1,69,4,0.057971014492753624,1
BAH-P-0081,1,False,115,0,0.0,1,87,0,0.0,1,109,0,0.0,1,80,4,0.05,1
BAH-P-0082,1,False,95,0,0.0,1,67,0,0.0,1,90,0,0.0,1,61,4,0.06557377049180328,1
BAH-P-0083,1,False,91,0,0.0,1,63,0,0.0,1,88,0,0.0,1,59,4,0.06779661016949153,1
BAH-P-0084,1,False,95,0,0.0,1,67,0,0.0,1,92,0,0.0,1,63,4,0.06349206349206349,1
BAH-P-0085,1,False,116,0,0.0,1,88,0,0.0,1,105,0,0.0,1,76,4,0.05263157894736842,1
BAH-P-0086,1,False,115,0,0.0,1,87,0,0.0,1,108,0,0.0,1,79,4,0.05063291139240506,1
BAH-P-0087,1,False,139,0,0.0,2,111,0,0.0,1,125,2,0.016,1,96,6,0.0625,1
BAH-P-0088,1,False,90,0,0.0,1,62,0,0.0,1,91,0,0.0,1,62,4,0.06451612903225806,1
BAH-P-0089,1,False,123,0,0.0,1,95,0,0.0,1,117,2,0.017094017094017096,1,88,6,0.06818181818181818,1
BAH-P-0090,1,False,84,0,0.0,1,56,0,0.0,1,81,0,0.0,1,52,4,0.07692307692307693,1
BAH-P-0091,1,False,96,0,0.0,1,68,0,0.0,1,92,0,0.0,1,63,4,0.06349206349206349,1
BAH-P-0092,1,False,97,0,0.0,1,69,0,0.0,1,97,0,0.0,1,68,4,0.058823529411764705,1
BAH-P-0093,1,False,149,0,0.0,2,122,0,0.0,1,135,2,0.014814814814814815,2,107,6,0.056074766355140186,1
BAH-P-0094,1,False,111,0,0.0,1,83,0,0.0,1,106,0,0.0,1,77,4,0.05194805194805195,1
BAH-P-0095,1,False,102,0,0.0,1,74,0,0.0,1,99,0,0.0,1,70,4,0.05714285714285714,1
BAH-P-0096,1,False,95,0,0.0,1,67,0,0.0,1,92,0,0.0,1,63,4,0.06349206349206349,1
BAH-P-0097,1,False,129,0,0.0,2,101,0,0.0,1,122,0,0.0,1,93,4,0.043010752688172046,1
BAH-P-0098,1,False,108,0,0.0,1,80,0,0.0,1,102,0,0.0,1,73,4,0.0547945205479452,1
BAH-P-0099,1,False,104,0,0.0,1,76,0,0.0,1,97,0,0.0,1,68,4,0.058823529411764705,1
BAH-P-0100,1,False,141,0,0.0,2,113,0,0.0,1,128,0,0.0,1,99,4,0.04040404040404041,1
BAH-P-0101,1,False,154,0,0.0,2,126,0,0.0,1,148,0,0.0,2,119,4,0.03361344537815126,1
BAH-P-0102,1,False,117,0,0.0,1,89,0,0.0,1,105,0,0.0,1,76,4,0.05263157894736842,1
BAH-P-0103,1,False,133,0,0.0,2,109,0,0.0,1,127,2,0.015748031496062992,1,103,5,0.04854368932038835,1
BAH-P-0104,1,False,106,0,0.0,1,78,0,0.0,1,102,0,0.0,1,73,4,0.0547945205479452,1
BAH-P-0105,1,False,92,0,0.0,1,64,0,0.0,1,91,0,0.0,1,62,4,0.06451612903225806,1
BAH-P-0106,1,False,97,0,0.0,1,69,0,0.0,1,97,0,0.0,1,68,4,0.058823529411764705,1
BAH-P-0107,1,False,120,0,0.0,1,92,0,0.0,1,116,2,0.017241379310344827,1,87,6,0.06896551724137931,1
BAH-P-0108,1,False,200,0,0.0,2,172,0,0.0,2,189,4,0.021164021164021163,2,160,8,0.05,2
BAH-P-0109,1,False,125,0,0.0,1,97,0,0.0,1,114,0,0.0,1,85,4,0.047058823529411764,1
BAH-P-0110,1,False,140,0,0.0,2,112,0,0.0,1,137,2,0.014598540145985401,2,108,6,0.05555555555555555,1
BAH-P-0111,1,False,103,0,0.0,1,75,0,0.0,1,96,0,0.0,1,67,4,0.05970149253731343,1
BAH-P-0112,1,False,111,0,0.0,1,83,0,0.0,1,105,0,0.0,1,76,4,0.05263157894736842,1
BAH-P-0113,1,False,98,0,0.0,1,70,0,0.0,1,93,0,0.0,1,64,4,0.0625,1
BAH-P-0114,1,False,128,0,0.0,1,100,0,0.0,1,119,2,0.01680672268907563,1,90,6,0.06666666666666667,1
BAH-P-0115,1,False,121,0,0.0,1,93,0,0.0,1,113,0,0.0,1,84,4,0.047619047619047616,1
BAH-P-0116,1,False,101,0,0.0,1,73,0,0.0,1,90,0,0.0,1,61,4,0.06557377049180328,1
BAH-P-0117,1,False,128,0,0.0,1,100,0,0.0,1,119,0,0.0,1,90,4,0.044444444444444446,1
BAH-P-0118,1,False,101,0,0.0,1,74,0,0.0,1,98,0,0.0,1,70,4,0.05714285714285714,1
BAH-P-0119,1,False,130,0,0.0,2,109,0,0.0,1,121,2,0.01652892561983471,1,99,5,0.050505050505050504,1
BAH-P-0120,1,False,110,0,0.0,1,82,0,0.0,1,102,0,0.0,1,73,4,0.0547945205479452,1
BAH-P-0121,1,False,127,0,0.0,1,99,0,0.0,1,120,0,0.0,1,91,4,0.04395604395604396,1
BAH-P-0122,1,False,156,0,0.0,2,128,0,0.0,1,147,4,0.027210884353741496,2,118,8,0.06779661016949153,1
BAH-P-0123,1,False,108,0,0.0,1,80,0,0.0,1,103,2,0.019417475728155338,1,74,6,0.08108108108108109,1
BAH-P-0124,1,False,151,0,0.0,2,123,0,0.0,1,143,2,0.013986013986013986,2,114,6,0.05263157894736842,1
BAH-P-0125,1,False,198,0,0.0,2,170,0,0.0,2,191,4,0.020942408376963352,2,162,8,0.04938271604938271,2
BAH-P-0126,1,False,132,0,0.0,2,104,0,0.0,1,122,2,0.01639344262295082,1,93,6,0.06451612903225806,1
BAH-P-0127,1,False,116,0,0.0,1,88,0,0.0,1,111,0,0.0,1,82,4,0.04878048780487805,1
BAH-P-0128,1,False,97,0,0.0,1,69,0,0.0,1,93,0,0.0,1,64,4,0.0625,1
BAH-P-0129,1,False,123,0,0.0,1,95,0,0.0,1,116,0,0.0,1,87,4,0.04597701149425287,1
BAH-P-0130,1,False,104,0,0.0,1,76,0,0.0,1,102,0,0.0,1,73,4,0.0547945205479452,1
BAH-P-0131,1,False,192,0,0.0,2,166,0,0.0,2,190,6,0.031578947368421054,2,165,9,0.05454545454545454,2
BAH-P-0132,1,False,109,0,0.0,1,81,0,0.0,1,106,0,0.0,1,77,4,0.05194805194805195,1
BAH-P-0133,1,False,184,0,0.0,2,156,0,0.0,2,179,0,0.0,2,150,4,0.02666666666666667,2
BAH-P-0134,1,False,127,0,0.0,1,99,0,0.0,1,122,0,0.0,1,93,4,0.043010752688172046,1
BAH-P-0135,1,False,107,0,0.0,1,79,0,0.0,1,101,0,0.0,1,72,4,0.05555555555555555,1
BAH-P-0136,1,False,95,0,0.0,1,67,0,0.0,1,90,0,0.0,1,61,4,0.06557377049180328,1
BAH-P-0137,1,False,119,0,0.0,1,91,0,0.0,1,111,2,0.018018018018018018,1,82,6,0.07317073170731707,1
BAH-P-0138,1,False,112,0,0.0,1,84,0,0.0,1,104,0,0.0,1,75,4,0.05333333333333334,1
BAH-P-0139,1,False,135,0,0.0,2,107,0,0.0,1,129,2,0.015503875968992248,2,100,6,0.06,1
BAH-P-0140,1,False,121,0,0.0,1,93,0,0.0,1,110,2,0.01818181818181818,1,81,6,0.07407407407407407,1
BAH-P-0141,1,False,102,0,0.0,1,74,0,0.0,1,97,0,0.0,1,68,4,0.058823529411764705,1
BAH-P-0142,1,False,117,0,0.0,1,89,0,0.0,1,116,0,0.0,1,87,4,0.04597701149425287,1
